"Station","fWY","Order3","Percent"
"SHR",2017,"Amphipoda",7.78293592178378
"SHR",2017,"Coleoptera",6.86150383343884
"SHR",2017,"Diptera",31.7718224660618
"SHR",2017,"Enchytraeida",10.9059576563269
"SHR",2017,"Hemiptera",17.0113244707041
"SHR",2017,"Hymenoptera",4.84982767109798
"SHR",2017,"Other",13.1321657170992
"SHR",2017,"Trichoptera",3.15467398185271
"SHR",2017,"Trombidiformes",4.52978828163466
"SHR",2018,"Coleoptera",3.5221151797065
"SHR",2018,"Diptera",68.2568726439011
"SHR",2018,"Hemiptera",11.4621223811938
"SHR",2018,"Hymenoptera",3.59192551604535
"SHR",2018,"Other",13.1669642791532
"SHR",2019,"Amphipoda",3.98238421532979
"SHR",2019,"Coleoptera",8.97014298338379
"SHR",2019,"Diptera",46.6731373770444
"SHR",2019,"Hemiptera",20.7130336525229
"SHR",2019,"Hymenoptera",3.49273493749004
"SHR",2019,"Other",12.4092772602819
"SHR",2019,"Tubificida",3.75928957394718
"STTD",2017,"Amphipoda",4.54127137419758
"STTD",2017,"Coleoptera",21.5841996629362
"STTD",2017,"Diptera",25.8673710920487
"STTD",2017,"Hemiptera",6.57558370732262
"STTD",2017,"Hygrophila",31.1026529568823
"STTD",2017,"Other",10.3289212066125
"STTD",2018,"Amphipoda",28.1745805273371
"STTD",2018,"Coleoptera",13.9025225430887
"STTD",2018,"Diptera",21.1919301449606
"STTD",2018,"Hemiptera",20.9764867024312
"STTD",2018,"Other",15.7544800821824
"STTD",2019,"Amphipoda",7.5668243906794
"STTD",2019,"Coleoptera",4.1671279350058
"STTD",2019,"Diptera",23.9860726720829
"STTD",2019,"Hemiptera",8.82171234711187
"STTD",2019,"Hygrophila",47.9575037943041
"STTD",2019,"Other",7.500758860816
